,Artist,Track,0,1,2,3
0,Justin Bieber,Love Yourself,,,,
1,Justin Bieber,Sorry,,,,
2,Justin Bieber,What Do You Mean?,,,,
3,Justin Bieber,Company,,,,
4,Justin Bieber,I'll Show You,,,,
5,Justin Bieber,Purpose,,,,
6,Justin Bieber,The Feeling,Halsey,,,
7,Justin Bieber,No Pressure,Big Sean,,,
8,Justin Bieber,What Do You Mean?,,,,
9,Justin Bieber,Mark My Words,,,,
10,Justin Bieber,No Sense,Travis Scott,,,
11,Justin Bieber,Life Is Worth Living,,,,
12,Skrillex,Where Are Ü Now,Diplo,Justin Bieber,,
13,Justin Bieber,Children,,,,
14,Justin Bieber,Been You,,,,
15,Justin Bieber,Get Used To It,,,,
16,Justin Bieber,We Are,Nas,,,
17,Justin Bieber,Trust,,,,
18,Justin Bieber,All In It,,,,
19,Justin Bieber,Heartbreaker,,,,
20,Justin Bieber,All That Matters,,,,
21,Justin Bieber,Hold Tight,,,,
22,Justin Bieber,Recovery,,,,
23,Justin Bieber,Bad Day,,,,
24,Justin Bieber,All Bad,,,,
25,Justin Bieber,Roller Coaster,,,,
26,Justin Bieber,Change Me,,,,
27,Justin Bieber,Confident,Chance the Rapper,,,
28,Justin Bieber,One Life,,,,
29,Justin Bieber,Backpack,Lil Wayne,,,
30,Justin Bieber,What's Hatnin',Future,,,
31,Justin Bieber,Swap It Out,,,,
32,Justin Bieber,Memphis,Big Sean,,,
33,Justin Bieber,Boyfriend,,,,
34,Justin Bieber,As Long As You Love Me,,,,
35,Justin Bieber,Beauty And A Beat,,,,
36,Justin Bieber,She Don't Like The Lights,,,,
37,Justin Bieber,Take You,,,,
38,Justin Bieber,Be Alright,,,,
39,Justin Bieber,All Around The World,,,,
40,Justin Bieber,Fall,,,,
41,Justin Bieber,Yellow Raincoat,,,,
42,Justin Bieber,I Would,,,,
43,Justin Bieber,Nothing Like Us,,,,
44,Justin Bieber,All Around The World,Ludacris,,,
45,Justin Bieber,Boyfriend,,,,
46,Justin Bieber,Catching Feelings,,,,
47,Justin Bieber,Take You,,,,
48,Justin Bieber,Right Here,Drake,,,
49,Justin Bieber,Fall,,,,
50,Justin Bieber,Die In Your Arms,,,,
51,Justin Bieber,Thought Of You,,,,
52,Justin Bieber,Beauty And A Beat,Nicki Minaj,,,
53,Justin Bieber,One Love,,,,
54,Justin Bieber,Be Alright,,,,
55,Justin Bieber,Believe,,,,
56,Justin Bieber,Out Of Town Girl,,,,
57,Justin Bieber,She Don't Like The Lights,,,,
58,Justin Bieber,Maria,,,,
59,Justin Bieber,Fairytale,Jaden,,,
60,Justin Bieber,Never Say Never,Jaden,,,
61,Justin Bieber,That Should Be Me,Rascal Flatts,,,
62,Justin Bieber,Somebody To Love Remix,Usher,,,
63,Justin Bieber,Up,Chris Brown,,,
64,Justin Bieber,Overboard (Live),Miley Cyrus,,,
65,Justin Bieber,Runaway Love,Raekwon,,,
66,Justin Bieber,Born To Be Somebody,,,,
67,Justin Bieber,Only Thing I Ever Get For Christmas,,,,
68,Justin Bieber,Mistletoe,,,,
69,Justin Bieber,The Christmas Song (Chestnuts Roasting On An Open Fire),Usher,,,
70,Justin Bieber,Santa Claus Is Coming To Town,,,,
71,Justin Bieber,Fa La La,Boyz II Men,,,
72,Justin Bieber,All I Want For Christmas Is You (SuperFestive!) Duet,Mariah Carey,,,
73,Justin Bieber,Drummer Boy,Busta Rhymes,,,
74,Justin Bieber,Christmas Eve,,,,
75,Justin Bieber,All I Want Is You,,,,
76,Justin Bieber,Home This Christmas,The Band Perry,,,
77,Justin Bieber,Silent Night,,,,
78,Justin Bieber,Christmas Love,,,,
79,Justin Bieber,Fa La La,Boyz II Men,,,
80,Justin Bieber,Pray,,,,
81,Justin Bieber,Someday At Christmas,,,,
82,Justin Bieber,Baby,Ludacris,,,
83,Justin Bieber,Somebody To Love,,,,
84,Justin Bieber,Stuck In The Moment,,,,
85,Justin Bieber,U Smile,,,,
86,Justin Bieber,Runaway Love,,,,
87,Justin Bieber,Never Let You Go,,,,
88,Justin Bieber,Overboard,Jessica Jarrell,,,
89,Justin Bieber,Eenie Meenie,Sean Kingston,,,
90,Justin Bieber,Up,,,,
91,Justin Bieber,That Should Be Me,,,,
92,Justin Bieber,One Time,,,,
93,Justin Bieber,Favorite Girl,,,,
94,Justin Bieber,Down To Earth,,,,
95,Justin Bieber,Bigger,,,,
96,Justin Bieber,One Less Lonely Girl,,,,
97,Justin Bieber,First Dance,Usher,,,
98,Justin Bieber,Love Me,,,,
99,Justin Bieber,Common Denominator,,,,
100,Justin Bieber,Baby,Ludacris,,,
101,Justin Bieber,Somebody To Love,,,,
102,Justin Bieber,Stuck In The Moment,,,,
103,Justin Bieber,U Smile,,,,
104,Justin Bieber,Runaway Love,,,,
105,Justin Bieber,Never Let You Go,,,,
106,Justin Bieber,Overboard,Jessica Jarrell,,,
107,Justin Bieber,Eenie Meenie,Sean Kingston,,,
108,Justin Bieber,Up,,,,
109,Justin Bieber,That Should Be Me,,,,
110,Justin Bieber,One Time,,,,
111,Justin Bieber,Baby,,,,
112,Justin Bieber,One Less Lonely Girl,,,,
113,Justin Bieber,Down To Earth,,,,
114,Justin Bieber,U Smile,,,,
115,Justin Bieber,Stuck In The Moment,,,,
116,Justin Bieber,Favorite Girl (Live),,,,
117,Justin Bieber,That Should Be Me,,,,
118,Justin Bieber,Never Say Never,Jaden,,,
119,Justin Bieber,Pray,,,,
120,Justin Bieber,Somebody To Love Remix,Usher,,,
121,Justin Bieber,Never Say Never,Jaden,,,
122,Justin Bieber,Somebody To Love,J. Stax,,,
123,Justin Bieber,One Time,,,,
124,Justin Bieber,Favorite Girl,,,,
125,Justin Bieber,Down To Earth,,,,
126,Justin Bieber,Bigger,,,,
127,Justin Bieber,One Less Lonely Girl,,,,
128,Justin Bieber,First Dance,Usher,,,
129,Justin Bieber,Love Me,,,,
130,Justin Bieber,Common Denominator,,,,
131,Justin Bieber,Baby,Ludacris,,,
132,Justin Bieber,Somebody To Love,,,,
133,Justin Bieber,Stuck In The Moment,,,,
134,Justin Bieber,U Smile,,,,
135,Justin Bieber,Runaway Love,,,,
136,Justin Bieber,Never Let You Go,,,,
137,Justin Bieber,Overboard,Jessica Jarrell,,,
138,Justin Bieber,Eenie Meenie,Sean Kingston,,,
139,Justin Bieber,Up,,,,
140,Justin Bieber,That Should Be Me,,,,
141,Justin Bieber,One Time,,,,
142,Justin Bieber,Favorite Girl,,,,
143,Justin Bieber,Down To Earth,,,,
144,Justin Bieber,Bigger,,,,
145,Justin Bieber,One Less Lonely Girl,,,,
146,Justin Bieber,First Dance,Usher,,,
147,Justin Bieber,Love Me,,,,
148,Justin Bieber,Home To Mama,Cody Simpson,,,
149,Justin Bieber,Backpack,Lil Wayne,,,
150,Justin Bieber,One Life,,,,
151,Justin Bieber,Swap It Out,,,,
152,Justin Bieber,What's Hatnin',Future,,,
153,Justin Bieber,Bad Day,,,,
154,Justin Bieber,Change Me,,,,
155,Justin Bieber,Confident,Chance the Rapper,,,
156,Tyga,Wait For A Minute,Justin Bieber,,,
157,Major Lazer,Cold Water ,Justin Bieber,MØ,,
158,Justin Bieber,Turn To You,,,,
159,Far East Movement,Live My Life,Justin Bieber,,,
160,Chris Brown,Next To You ,Justin Bieber,,,
161,Luis Fonsi,Despacito,Daddy Yankee,Justin Bieber,,
162,DJ Khaled,I'm the One,Justin Bieber,Quavo,Chance the Rapper,Lil Wayne
163,David Guetta,2U ,Justin Bieber,,,
164,Justin Bieber,Friends ,BloodPop®,,,
165,Justin Bieber,As Long As You Love Me,Big Sean,,,
166,Justin Bieber,All Around Me,,,,
167,Justin Bieber,Habitual,,,,
168,Justin Bieber,Come Around Me,,,,
169,Justin Bieber,Intentions ,Quavo,,,
170,Justin Bieber,Yummy,,,,
171,Justin Bieber,Available,,,,
172,Justin Bieber,Forever ,Post Malone,Clever,,
173,Justin Bieber,Running Over ,Lil Dicky,,,
174,Justin Bieber,Take It Out On Me,,,,
175,Justin Bieber,Second Emotion ,Travis Scott,,,
176,Justin Bieber,Get Me ,Kehlani,,,
177,Justin Bieber,E.T.A.,,,,
178,Justin Bieber,Changes,,,,
179,Justin Bieber,Confirmation,,,,
180,Justin Bieber,That's What Love Is,,,,
181,Justin Bieber,At Least For Now,,,,
182,Justin Bieber,Yummy,Summer Walker,,,
183,Ed Sheeran,I Don't Care ,Justin Bieber,,,
184,Dan + Shay,"10,000 Hours ",Justin Bieber,,,
185,Maejor,Lolly,Juicy J,Justin Bieber,,
186,Justin Bieber,Flatline,,,,
187,DJ Snake,Let Me Love You,Justin Bieber,,,
188,will.i.am,#thatPOWER,Justin Bieber,,,
189,Sage The Gemini,Gas Pedal,Justin Bieber,Iamsu!,,
190,Billie Eilish,bad guy ,Justin Bieber,,,
191,DJ Snake,Let Me Love You,Justin Bieber,,,
192,DJ Khaled,No Brainer ,Justin Bieber,Chance the Rapper,Quavo,
193,Chris Brown,Don't Check On Me ,Justin Bieber,Ink,,
194,Far East Movement,Live My Life,Justin Bieber,Redfoo,,
195,Justin Bieber,Sorry,J Balvin,,,
196,Chance the Rapper,Juke Jam ,Justin Bieber,Towkio,,
197,Poo Bear,Hard 2 Face Reality,Justin Bieber,Jay Electronica,,
198,Post Malone,Deja Vu,Justin Bieber,,,
199,Carly Rae Jepsen,Beautiful,Justin Bieber,,,
200,Skrillex,Where Are Ü Now LIVE ,Diplo,Jack Ü,Justin Bieber,
201,Usher,Somebody to Love ,Justin Bieber,benny blanco,,
202,Justin Bieber,Friends ,BloodPop®,Julia Michaels,,
203,Justin Bieber,As Long As You Love Me,Ferry Corsten,,,
204,DJ Snake,Let Me Love You -,With You.,Justin Bieber,,
205,Ariana Grande,Stuck,Justin Bieber,,,
