,Artist,Track,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Rihanna,Consideration,SZA,,,,,,,,,,,,,,
1,Rihanna,James Joint,,,,,,,,,,,,,,,
2,Rihanna,Kiss It Better,,,,,,,,,,,,,,,
3,Rihanna,Work,Drake,,,,,,,,,,,,,,
4,Rihanna,Desperado,,,,,,,,,,,,,,,
5,Rihanna,Woo,,,,,,,,,,,,,,,
6,Rihanna,Needed Me,,,,,,,,,,,,,,,
7,Rihanna,"Yeah, I Said It",,,,,,,,,,,,,,,
8,Rihanna,Same Ol’ Mistakes,,,,,,,,,,,,,,,
9,Rihanna,Never Ending,,,,,,,,,,,,,,,
10,Rihanna,Love On The Brain,,,,,,,,,,,,,,,
11,Rihanna,Higher,,,,,,,,,,,,,,,
12,Rihanna,Close To You,,,,,,,,,,,,,,,
13,Rihanna,Goodnight Gotham,,,,,,,,,,,,,,,
14,Rihanna,Pose,,,,,,,,,,,,,,,
15,Rihanna,Sex,,,,,,,,,,,,,,,
16,Rihanna,Phresh Out The Runway,,,,,,,,,,,,,,,
17,Rihanna,Diamonds,,,,,,,,,,,,,,,
18,Rihanna,Numb,Eminem,,,,,,,,,,,,,,
19,Rihanna,Pour It Up,,,,,,,,,,,,,,,
20,Rihanna,Loveeeeeee Song,Future,,,,,,,,,,,,,,
21,Rihanna,Jump,,,,,,,,,,,,,,,
22,Rihanna,Right Now,David Guetta,,,,,,,,,,,,,,
23,Rihanna,What Now,,,,,,,,,,,,,,,
24,Rihanna,Stay,Mikky Ekko,,,,,,,,,,,,,,
25,Rihanna,Nobody's Business,Chris Brown,,,,,,,,,,,,,,
26,Rihanna,Love,,,,,,,,,,,,,,,
27,Rihanna,Get It Over,,,,,,,,,,,,,,,
28,Rihanna,No Love Allowed,,,,,,,,,,,,,,,
29,Rihanna,Lost In Paradise,,,,,,,,,,,,,,,
30,Rihanna,Half Of Me,,,,,,,,,,,,,,,
31,Rihanna,Diamonds,Dave Audé,Kemal Golden,,,,,,,,,,,,,
32,Rihanna,Diamonds,Gregor Salto,Tzvetin Todorov,,,,,,,,,,,,,
33,Rihanna,You Da One,,,,,,,,,,,,,,,
34,Rihanna,Where Have You Been,,,,,,,,,,,,,,,
35,Rihanna,We Found Love,Calvin Harris,,,,,,,,,,,,,,
36,Rihanna,Talk That Talk,JAY-Z,,,,,,,,,,,,,,
37,Rihanna,Cockiness (Love It),,,,,,,,,,,,,,,
38,Rihanna,Birthday Cake,,,,,,,,,,,,,,,
39,Rihanna,We All Want Love,,,,,,,,,,,,,,,
40,Rihanna,Drunk On Love,,,,,,,,,,,,,,,
41,Rihanna,Roc Me Out,,,,,,,,,,,,,,,
42,Rihanna,Watch n' Learn,,,,,,,,,,,,,,,
43,Rihanna,Farewell,,,,,,,,,,,,,,,
44,Rihanna,Red Lipstick,,,,,,,,,,,,,,,
45,Rihanna,Do Ya Thang,,,,,,,,,,,,,,,
46,Rihanna,Fool In Love,,,,,,,,,,,,,,,
47,Rihanna,You Da One,,,,,,,,,,,,,,,
48,Rihanna,Where Have You Been,,,,,,,,,,,,,,,
49,Rihanna,We Found Love,Calvin Harris,,,,,,,,,,,,,,
50,Rihanna,Talk That Talk,JAY-Z,,,,,,,,,,,,,,
51,Rihanna,We All Want Love,,,,,,,,,,,,,,,
52,Rihanna,Drunk On Love,,,,,,,,,,,,,,,
53,Rihanna,Roc Me Out,,,,,,,,,,,,,,,
54,Rihanna,Watch n' Learn,,,,,,,,,,,,,,,
55,Rihanna,Farewell,,,,,,,,,,,,,,,
56,Rihanna,,,,,,,,,,,,,,,,
57,Rihanna,What's My Name?,Drake,,,,,,,,,,,,,,
58,Rihanna,Cheers (Drink To That),,,,,,,,,,,,,,,
59,Rihanna,Fading,,,,,,,,,,,,,,,
60,Rihanna,Only Girl (In The World),,,,,,,,,,,,,,,
61,Rihanna,California King Bed,,,,,,,,,,,,,,,
62,Rihanna,Man Down,,,,,,,,,,,,,,,
63,Rihanna,Raining Men,Nicki Minaj,,,,,,,,,,,,,,
64,Rihanna,Complicated,,,,,,,,,,,,,,,
65,Rihanna,Skin,,,,,,,,,,,,,,,
66,Rihanna,Love The Way You Lie (Part II),Eminem,,,,,,,,,,,,,,
67,Rihanna,Only Girl (In The World),Marc Jackson Burrows,Lee Dagger,,,,,,,,,,,,,
68,Rihanna,Mad House,,,,,,,,,,,,,,,
69,Rihanna,Wait Your Turn,,,,,,,,,,,,,,,
70,Rihanna,Hard,Jeezy,,,,,,,,,,,,,,
71,Rihanna,Stupid In Love,,,,,,,,,,,,,,,
72,Rihanna,ROCKSTAR 101,Slash,,,,,,,,,,,,,,
73,Rihanna,Russian Roulette,,,,,,,,,,,,,,,
74,Rihanna,Fire Bomb,,,,,,,,,,,,,,,
75,Rihanna,Rude Boy,,,,,,,,,,,,,,,
76,Rihanna,Photographs,will.i.am,,,,,,,,,,,,,,
77,Rihanna,G4L,,,,,,,,,,,,,,,
78,Rihanna,Te Amo,,,,,,,,,,,,,,,
79,Rihanna,Cold Case Love,,,,,,,,,,,,,,,
80,Rihanna,The Last Song,,,,,,,,,,,,,,,
81,Rihanna,Umbrella,JAY-Z,,,,,,,,,,,,,,
82,Rihanna,Push Up On Me,,,,,,,,,,,,,,,
83,Rihanna,Don't Stop The Music,,,,,,,,,,,,,,,
84,Rihanna,Breakin' Dishes,,,,,,,,,,,,,,,
85,Rihanna,Shut Up And Drive,,,,,,,,,,,,,,,
86,Rihanna,Hate That I Love You,Ne-Yo,,,,,,,,,,,,,,
87,Rihanna,Say It,,,,,,,,,,,,,,,
88,Rihanna,Sell Me Candy,,,,,,,,,,,,,,,
89,Rihanna,Lemme Get That,,,,,,,,,,,,,,,
90,Rihanna,Rehab,,,,,,,,,,,,,,,
91,Rihanna,Question Existing,,,,,,,,,,,,,,,
92,Rihanna,Good Girl Gone Bad,,,,,,,,,,,,,,,
93,Rihanna,Disturbia,,,,,,,,,,,,,,,
94,Rihanna,Take A Bow,,,,,,,,,,,,,,,
95,Maroon 5,If I Never See Your Face Again,Rihanna,,,,,,,,,,,,,,
96,Rihanna,SOS,,,,,,,,,,,,,,,
97,Rihanna,Kisses Don't Lie,,,,,,,,,,,,,,,
98,Rihanna,Unfaithful,,,,,,,,,,,,,,,
99,Rihanna,We Ride,,,,,,,,,,,,,,,
100,Rihanna,Dem Haters,Dwane Husbands,,,,,,,,,,,,,,
101,Rihanna,Final Goodbye,,,,,,,,,,,,,,,
102,Rihanna,Break It Off,Sean Paul,,,,,,,,,,,,,,
103,Rihanna,Crazy Little Thing Called Love,J-Status,,,,,,,,,,,,,,
104,Rihanna,Selfish Girl,,,,,,,,,,,,,,,
105,Rihanna,P.S. (I'm Still Not Over You),,,,,,,,,,,,,,,
106,Rihanna,A Girl Like Me,,,,,,,,,,,,,,,
107,Rihanna,A Million Miles Away,,,,,,,,,,,,,,,
108,Rihanna,If It's Lovin' That You Want,Cory Gunz,,,,,,,,,,,,,,
109,Rihanna,Pon de Replay,Matt Ward,Dean Gillard,,,,,,,,,,,,,
110,Rihanna,Pon de Replay,,,,,,,,,,,,,,,
111,Rihanna,Here I Go Again,J-Status,,,,,,,,,,,,,,
112,Rihanna,If It's Lovin' That You Want,,,,,,,,,,,,,,,
113,Rihanna,"You Don't Love Me (No, No, No)",Vybz Kartel,,,,,,,,,,,,,,
114,Rihanna,"That La, La, La",,,,,,,,,,,,,,,
115,Rihanna,The Last Time,,,,,,,,,,,,,,,
116,Rihanna,Willing To Wait,,,,,,,,,,,,,,,
117,Rihanna,Music Of The Sun,,,,,,,,,,,,,,,
118,Rihanna,Let Me,,,,,,,,,,,,,,,
119,Rihanna,Rush,Kardinal Offishall,,,,,,,,,,,,,,
120,Rihanna,There's A Thug In My Life,J-Status,,,,,,,,,,,,,,
121,Rihanna,Now I Know,,,,,,,,,,,,,,,
122,Rihanna,Pon De Replay,Elephant Man,,,,,,,,,,,,,,
123,Memphis Bleek,The One,Rihanna,,,,,,,,,,,,,,
124,Sean Paul,Break It Off ,Rihanna,,,,,,,,,,,,,,
125,Cham,Boom Boom ,Rihanna,,,,,,,,,,,,,,
126,Rihanna,The Hotness -,,,,,,,,,,,,,,,
127,Maroon 5,If I Never See Your Face Again,Rihanna,,,,,,,,,,,,,,
128,Rihanna,If It's Lovin' That You Want,,,,,,,,,,,,,,,
129,The-Dream,Livin' A Lie,Rihanna,,,,,,,,,,,,,,
130,Fabolous,First Time,Rihanna,,,,,,,,,,,,,,
131,Fabolous,First Time,Rihanna,,,,,,,,,,,,,,
132,Rihanna,Cry,,,,,,,,,,,,,,,
133,Rihanna,We Ride,,,,,,,,,,,,,,,
134,Elephant Man,Throw Your Hands Up ,Rihanna,,,,,,,,,,,,,,
135,Kardinal Offishall,Numba 1 (Tide Is High),Rihanna,,,,,,,,,,,,,,
136,Artists Stand Up To Cancer,JUST STAND UP!,Mariah Carey,Beyoncé,Mary J. Blige,Rihanna,Fergie,Sheryl Crow,Melissa Etheridge,Natasha Bedingfield,Miley Cyrus,Leona Lewis,Carrie Underwood,Keyshia Cole,LeAnn Rimes,Ashanti,Ciara
137,Maroon 5,If I Never See Your Face Again,Rihanna,,,,,,,,,,,,,,
138,T.I.,Live Your Life ,Rihanna,Justin Smith,,,,,,,,,,,,,
139,Nicki Minaj,Fly,Rihanna,,,,,,,,,,,,,,
140,David Guetta,Who's That Chick? ,,,,,,,,,,,,,,,
141,Drake,Take Care,Rihanna,,,,,,,,,,,,,,
142,The Lonely Island,Shy Ronnie 2: Ronnie,Rihanna,,,,,,,,,,,,,,
143,Coldplay,Princess of China,Rihanna,,,,,,,,,,,,,,
144,Eminem,The Monster,Rihanna,,,,,,,,,,,,,,
145,Wale,Bad ,Rihanna,,,,,,,,,,,,,,
146,Shakira,Can't Remember to Forget You,Rihanna,,,,,,,,,,,,,,
147,Rihanna,Towards The Sun,,,,,,,,,,,,,,,
148,Rihanna,Dancing In The Dark,,,,,,,,,,,,,,,
149,Rihanna,As Real As You And Me,,,,,,,,,,,,,,,
150,Calvin Harris,This Is What You Came For ,Rihanna,,,,,,,,,,,,,,
151,Drake,Too Good,Rihanna,,,,,,,,,,,,,,
152,Question?,I’m Back ,Rihanna,,,,,,,,,,,,,,
153,Mike WiLL Made-It,Nothing Is Promised ,Rihanna,,,,,,,,,,,,,,
154,Kendrick Lamar,LOYALTY.,Rihanna,,,,,,,,,,,,,,
155,DJ Khaled,Wild Thoughts ,Rihanna,Bryson Tiller,,,,,,,,,,,,,
156,Future,Selfish ,Rihanna,,,,,,,,,,,,,,
157,N.E.R.D,Lemon,Rihanna,Pharrell Williams,,,,,,,,,,,,,
158,Rihanna,Redemption Song,,,,,,,,,,,,,,,
159,Rihanna,Sledgehammer,,,,,,,,,,,,,,,
160,N.E.R.D,Lemon,Rihanna,,,,,,,,,,,,,,
161,Kanye West,Famous,,,,,,,,,,,,,,,
162,N.E.R.D,Lemon ,Rihanna,Drake,,,,,,,,,,,,,
163,Rihanna,American Oxygen,,,,,,,,,,,,,,,
164,Rihanna,FourFiveSeconds,Kanye West,Paul McCartney,,,,,,,,,,,,,
165,Rihanna,Bitch Better Have My Money,,,,,,,,,,,,,,,
166,Rihanna,Diamonds,Kanye West,,,,,,,,,,,,,,
167,Rihanna,,Britney Spears,,,,,,,,,,,,,,
168,Rihanna,It Just Don't Feel Like Xmas ,,,,,,,,,,,,,,,
169,PARTYNEXTDOOR,BELIEVE IT,Rihanna,,,,,,,,,,,,,,
170,Eminem,Love The Way You Lie,Rihanna,,,,,,,,,,,,,,
171,JAY-Z,Run This Town,Rihanna,Kanye West,,,,,,,,,,,,,
172,Kanye West,All Of The Lights,,,,,,,,,,,,,,,
